ts,name,x,y,z
37062.9,left_thumb,0.418019,0.614321,-0.036390
37062.9,left_index,0.419442,0.406982,-0.045836
37062.9,left_middle,0.382746,0.306602,-0.046950
37062.9,left_ring,0.316530,0.282704,-0.063971
37062.9,left_pinky,0.190553,0.316357,-0.069418
37079.6,right_thumb,0.550625,0.577903,-0.041184
37079.6,right_index,0.553505,0.373862,-0.050739
37079.6,right_middle,0.613657,0.278302,-0.057231
37079.6,right_ring,0.678086,0.266263,-0.074366
37079.6,right_pinky,0.800958,0.304105,-0.084212
37079.6,left_thumb,0.417683,0.614623,-0.036469
37079.6,left_index,0.418957,0.406949,-0.045949
37079.6,left_middle,0.382246,0.306610,-0.047064
37079.6,left_ring,0.315884,0.282740,-0.064123
37079.6,left_pinky,0.189878,0.316529,-0.069599
37104.5,right_thumb,0.549235,0.580166,-0.041378
37104.5,right_index,0.551836,0.374685,-0.050890
37104.5,right_middle,0.611929,0.278900,-0.057484
37104.5,right_ring,0.676443,0.267085,-0.074633
37104.5,right_pinky,0.799370,0.304969,-0.084538
37104.5,left_thumb,0.417228,0.614933,-0.036582
37104.5,left_index,0.418274,0.407044,-0.045956
37104.5,left_middle,0.381599,0.306778,-0.047045
37104.5,left_ring,0.315072,0.282935,-0.064129
37104.5,left_pinky,0.189567,0.316947,-0.069616
37121.3,right_thumb,0.548390,0.581490,-0.041456
37121.3,right_index,0.550782,0.375221,-0.050938
37121.3,right_middle,0.610899,0.279316,-0.057602
37121.3,right_ring,0.675418,0.267659,-0.074790
37121.3,right_pinky,0.798391,0.305540,-0.084747
37121.3,left_thumb,0.416965,0.615156,-0.036620
37121.3,left_index,0.417866,0.407118,-0.045936
37121.3,left_middle,0.381089,0.306893,-0.047022
37121.3,left_ring,0.314575,0.283090,-0.064134
37121.3,left_pinky,0.189430,0.317181,-0.069626
37138.4,right_thumb,0.547665,0.582447,-0.041616
37138.4,right_index,0.549791,0.375790,-0.051078
37138.4,right_middle,0.609849,0.279659,-0.057784
37138.4,right_ring,0.674505,0.268178,-0.074994
37138.4,right_pinky,0.797457,0.306135,-0.084983
37138.4,left_thumb,0.416765,0.615361,-0.036663
37138.4,left_index,0.417445,0.407168,-0.045891
37138.4,left_middle,0.380627,0.307076,-0.046958
37138.4,left_ring,0.314212,0.283222,-0.064094
37138.4,left_pinky,0.189497,0.317413,-0.069585
37155.1,right_thumb,0.547118,0.583487,-0.041743
37155.1,right_index,0.548985,0.376287,-0.051155
37155.1,right_middle,0.609048,0.280024,-0.057904
37155.1,right_ring,0.673754,0.268706,-0.075141
37155.1,right_pinky,0.796583,0.306709,-0.085179
37155.1,left_thumb,0.416517,0.615499,-0.036673
37155.1,left_index,0.417103,0.407318,-0.045830
37155.1,left_middle,0.380247,0.307282,-0.046881
37155.1,left_ring,0.313935,0.283441,-0.064054
37155.1,left_pinky,0.189631,0.317679,-0.069561
37180.1,right_thumb,0.546448,0.584718,-0.041966
37180.1,right_index,0.548018,0.376899,-0.051297
37180.1,right_middle,0.608092,0.280536,-0.058116
37180.1,right_ring,0.672871,0.269404,-0.075373
37180.1,right_pinky,0.795437,0.307539,-0.085491
37180.1,left_thumb,0.416237,0.615596,-0.036697
37180.1,left_index,0.416752,0.407508,-0.045801
37180.1,left_middle,0.379812,0.307548,-0.046844
37180.1,left_ring,0.313555,0.283678,-0.064058
37180.1,left_pinky,0.189790,0.318026,-0.069591
37196.8,right_thumb,0.546007,0.585363,-0.042019
37196.8,right_index,0.547318,0.377372,-0.051290
37196.8,right_middle,0.607506,0.280801,-0.058136
37196.8,right_ring,0.672350,0.269830,-0.075440
37196.8,right_pinky,0.794871,0.307979,-0.085606
37196.8,left_thumb,0.416095,0.615758,-0.036719
37196.8,left_index,0.416627,0.407693,-0.045807
37196.8,left_middle,0.379769,0.307738,-0.046822
37196.8,left_ring,0.313510,0.283899,-0.064070
37196.8,left_pinky,0.189904,0.318229,-0.069647
37213.6,right_thumb,0.545638,0.585768,-0.042135
37213.6,right_index,0.546752,0.377811,-0.051361
37213.6,right_middle,0.606962,0.281047,-0.058261
37213.6,right_ring,0.671945,0.270199,-0.075594
37213.6,right_pinky,0.794337,0.308469,-0.085788
37213.6,left_thumb,0.415982,0.615878,-0.036790
37213.6,left_index,0.416501,0.407861,-0.045887
37213.6,left_middle,0.379737,0.307920,-0.046871
37213.6,left_ring,0.313479,0.284097,-0.064131
37213.6,left_pinky,0.190023,0.318428,-0.069740
37237.8,right_thumb,0.545271,0.586376,-0.042249
37237.8,right_index,0.546107,0.378410,-0.051363
37237.8,right_middle,0.606664,0.281455,-0.058255
37237.8,right_ring,0.671690,0.270537,-0.075603
37237.8,right_pinky,0.793993,0.308911,-0.085745
37237.8,left_thumb,0.415771,0.616343,-0.036774
37237.8,left_index,0.416414,0.408091,-0.045823
37237.8,left_middle,0.379783,0.308282,-0.046817
37237.8,left_ring,0.313634,0.284536,-0.064092
37237.8,left_pinky,0.190427,0.318625,-0.069723
37255.1,right_thumb,0.545225,0.586421,-0.042272
37255.1,right_index,0.545873,0.378772,-0.051333
37255.1,right_middle,0.606582,0.281626,-0.058215
37255.1,right_ring,0.671729,0.270630,-0.075601
37255.1,right_pinky,0.793973,0.309174,-0.085725
37255.1,left_thumb,0.415719,0.616629,-0.036788
37255.1,left_index,0.416413,0.408263,-0.045801
37255.1,left_middle,0.379893,0.308517,-0.046775
37255.1,left_ring,0.313748,0.284809,-0.064069
37255.1,left_pinky,0.190723,0.318877,-0.069704
37280.1,right_thumb,0.545347,0.586459,-0.042359
37280.1,right_index,0.545636,0.379393,-0.051492
37280.1,right_middle,0.606538,0.281884,-0.058372
37280.1,right_ring,0.671670,0.270858,-0.075764
37280.1,right_pinky,0.794023,0.309574,-0.085841
37280.1,left_thumb,0.415623,0.617082,-0.036772
37280.1,left_index,0.416412,0.408503,-0.045701
37280.1,left_middle,0.379931,0.308803,-0.046646
37280.1,left_ring,0.313829,0.285184,-0.063953
37280.1,left_pinky,0.191073,0.319094,-0.069591
37305.1,right_thumb,0.545573,0.586320,-0.042435
37305.1,right_index,0.545626,0.379713,-0.051550
37305.1,right_middle,0.606646,0.281949,-0.058455
37305.1,right_ring,0.671918,0.270832,-0.075860
37305.1,right_pinky,0.794133,0.309813,-0.085920
